audio_path,transcript
TheDirection_1_1_0_14898.wav,حيا الله أبو بطي.
TheDirection_1_2_14898_16014.wav,الله يحييك.
TheDirection_1_3_16014_16964.wav,منورنا اليوم.
TheDirection_1_4_16964_18111.wav,النور نورك يالغا.
TheDirection_1_6_18127_20680.wav,الله يطول عمرك، يحفظك، مشكور على الييه.
TheDirection_1_8_20715_21978.wav,بالعكس تشرفت.
TheDirection_1_9_21978_24706.wav,خبرنا منو هو محمد المطوع؟
TheDirection_1_10_24706_40472.wav,محمد المطوع، مجرد إنسان في حياه مفعمة بال- بال- بالتحديات، مفعمة بالأحداث، مفعمة بال- كل الأمور. 
TheDirection_1_12_40482_44485.wav,بس ما يبين عليك ما شا الله أبو بطي. 
TheDirection_1_13_44485_45579.wav,الله يحفظك يا بدر.
TheDirection_1_14_45579_51537.wav,في عندك جي مثل مثل الطاقه من أول يوم تلاقينا فيها أنا وأنت عند أبو خالد.  
TheDirection_1_15_51537_51941.wav,صحيح.
TheDirection_1_16_51941_52771.wav,في الخوانيج هناك. 
TheDirection_1_17_52771_53132.wav,صحيح.
TheDirection_1_18_53132_59407.wav,صح، إن الجو كان غير هناك براد، ومغيرين ها الضو، ومخلصين هالعشا الفنان والحين رطوبه.
TheDirection_1_20_59407_60386.wav,رطوبه إي والله.
TheDirection_1_21_60386_67271.wav,دقيقتين ما بتصبر، بس ما شا الله علىك عندك [energy] وعندك طاقه، كل اللي حولك ينجذب لهاي الطاقه.
TheDirection_1_22_67271_68845.wav,الله يطول عمرك يا أبو عبد العزي.
TheDirection_1_23_68845_70249.wav,مو مجامله ترى والله.
TheDirection_1_24_70249_71087.wav,جزاك الله خير.
TheDirection_1_25_71087_72066.wav,صدق هالكلام.
TheDirection_1_26_72066_77405.wav,[I'm I'm overwhelmed] يعني [I'm very humbled and overwhelmed] صراحه.
TheDirection_1_27_77405_77979.wav,هذا الصدق.
TheDirection_1_28_77979_81957.wav,هاي يعني سبحان الله نعمه من رب العالمين.
TheDirection_1_29_81957_82553.wav,سبحانه.
TheDirection_1_30_82553_94038.wav,كل اللي عليه الواحد إنه ممكن اتكلمنا جبل يمضي في هاي التحديات، يعيش حياته.
TheDirection_1_31_94038_99481.wav,"[Life, you will always struggle in life, there are always struggles]."
TheDirection_1_32_99481_100141.wav,صح.
TheDirection_1_33_100141_111393.wav,"إذا أنت [pity] على كل [struggle, you will sit, that's it, I'm a loser]، أنا ما أقدر أكمل [you will not survive]."
TheDirection_1_34_111393_112099.wav,صدق.
TheDirection_1_35_112099_122632.wav,دائمًا في تحديات، تحديات صغيره، تحديات كبيره، ساعات اتقول ليش أنا يستوي لي شي، زين أنت ما تعرف أصلًا غيرك شو التحديات اللي يالس يمر فيها؟
